date,id,bear,bishop,martin,otter,pocosin,possum,raccoon,rattlesnake,walker,wildcat,ref_drained,ref_nat,ref2_wht,ref2,ref3,ref4
6/20/2023 0:00,20231019,-2.167,-3.033,-3.443,-3.628,,-3.739,-3.068,-3.268,-4.331,-2.958,,-2.864,-2.703,,-3.824,-5.163
6/20/2023 0:30,20231019,-2.167,-3.022,-3.451,-3.619,,-3.744,-3.079,-3.271,-4.335,-2.962,,-2.867,-2.7,,-3.823,-5.161
6/20/2023 1:00,20231019,-2.164,-3.02,-3.443,-3.619,,-3.732,-3.071,-3.258,-4.33,-2.957,,-2.858,-2.704,,-3.822,-5.163
6/20/2023 1:30,20231019,-2.167,-3.019,-3.443,-3.619,,-3.732,-3.071,-3.259,-4.327,-2.95,,-2.864,-2.706,,-3.831,-5.171
6/20/2023 2:00,20231019,-2.171,-3.006,-3.45,-3.606,,-3.732,-3.069,-3.26,-4.325,-2.957,,-2.862,-2.704,,-3.82,-5.16
6/20/2023 2:30,20231019,-2.173,-3.006,-3.436,-3.603,,-3.729,-3.062,-3.254,-4.318,-2.95,,-2.855,-2.706,,-3.822,-5.16
6/20/2023 3:00,20231019,-2.168,-3.016,-3.426,-3.613,,-3.726,-3.056,-3.243,-4.307,-2.943,,-2.857,-2.711,,-3.823,-5.165
6/20/2023 3:30,20231019,-2.165,-3.017,-3.44,-3.613,,-3.736,-3.059,-3.254,-4.324,-2.946,,-2.865,-2.7,,-3.822,-5.157
6/20/2023 4:00,20231019,-2.166,-3.005,-3.44,-3.596,,-3.736,-3.062,-3.254,-4.323,-2.95,,-2.868,-2.693,,-3.825,-5.164
6/20/2023 4:30,20231019,-2.163,-3.009,-3.433,-3.593,,-3.726,-3.047,-3.235,-4.312,-2.939,,-2.862,-2.708,,-3.823,-5.165
6/20/2023 5:00,20231019,-2.153,-3.013,-3.416,-3.601,,-3.719,-3.044,-3.228,-4.301,-2.932,,-2.855,-2.698,,-3.816,-5.154
6/20/2023 5:30,20231019,-2.16,-3.021,-3.438,-3.609,,-3.734,-3.058,-3.237,-4.319,-2.941,,-2.856,-2.703,,-3.813,-5.152
6/20/2023 6:00,20231019,-2.159,-3.012,-3.447,-3.606,,-3.736,-3.059,-3.246,-4.328,-2.951,,-2.861,-2.701,,-3.818,-5.157
6/20/2023 6:30,20231019,-2.153,-3.005,-3.44,-3.593,,-3.736,-3.051,-3.235,-4.32,-2.947,,-2.862,-2.707,,-3.823,-5.161
6/20/2023 7:00,20231019,-2.142,-3.011,-3.433,-3.594,,-3.726,-3.048,-3.228,-4.313,-2.94,,-2.863,-2.702,,-3.823,-5.161
6/20/2023 7:30,20231019,-2.155,-3,-3.428,-3.575,,-3.727,-3.041,-3.229,-4.306,-2.937,,-2.864,-2.693,,-3.825,-5.156
6/20/2023 8:00,20231019,-2.16,-2.994,-3.413,-3.584,,-3.715,-3.031,-3.211,-4.299,-2.921,,-2.866,-2.697,,-3.819,-5.157
6/20/2023 8:30,20231019,-2.156,-3.001,-3.418,-3.595,,-3.72,-3.027,-3.215,-4.297,-2.925,,-2.873,-2.69,,-3.827,-5.162
6/20/2023 9:00,20231019,-2.149,-3,-3.426,-3.595,,-3.729,-3.039,-3.223,-4.305,-2.936,,-2.872,-2.699,,-3.826,-5.164
6/20/2023 9:30,20231019,-2.147,-2.994,-3.429,-3.592,,-3.726,-3.038,-3.222,-4.304,-2.935,,-2.867,-2.704,,-3.822,-5.156
6/20/2023 10:00,20231019,-2.134,-2.978,-3.422,-3.6,,-3.729,-3.042,-3.221,-4.311,-2.939,,-2.87,-2.689,,-3.821,-5.159
6/20/2023 10:30,20231019,-2.135,-2.987,-3.438,-3.615,,-3.734,-3.047,-3.23,-4.312,-2.944,,-2.866,-2.688,,-3.822,-5.161
6/20/2023 11:00,20231019,-2.147,-3.001,-3.446,-3.622,,-3.742,-3.06,-3.235,-4.32,-2.953,,-2.871,-2.69,,-3.827,-5.159
6/20/2023 11:30,20231019,-2.142,-2.985,-3.449,-3.619,,-3.746,-3.069,-3.249,-4.328,-2.964,,-2.865,-2.694,,-3.825,-5.156
6/20/2023 12:00,20231019,-2.146,-2.982,-3.453,-3.628,,-3.742,-3.066,-3.25,-4.316,-2.961,,-2.858,-2.69,,-3.826,-5.153
6/20/2023 12:30,20231019,-2.158,-2.979,-3.458,-3.63,,-3.747,-3.073,-3.261,-4.328,-2.969,,-2.862,-2.696,,-3.833,-5.165
6/20/2023 13:00,20231019,-2.163,-2.968,-3.467,-3.64,,-3.752,-3.076,-3.264,-4.323,-2.973,,-2.861,-2.687,,-3.832,-5.157
6/20/2023 13:30,20231019,-2.175,-2.971,-3.474,-3.637,,-3.762,-3.089,-3.277,-4.334,-2.983,,-2.867,-2.704,,-3.833,-5.16
6/20/2023 14:00,20231019,-2.18,-2.974,-3.471,-3.644,,-3.756,-3.09,-3.278,-4.327,-2.977,,-2.869,-2.703,,-3.834,-5.154
6/20/2023 14:30,20231019,-2.19,-2.977,-3.484,-3.641,,-3.759,-3.099,-3.287,-4.336,-2.982,,-2.875,-2.692,,-3.846,-5.168
6/20/2023 15:00,20231019,-2.192,-2.976,-3.481,-3.648,,-3.759,-3.103,-3.288,-4.337,-2.987,,-2.88,-2.692,,-3.843,-5.168
6/20/2023 15:30,20231019,-2.2,-2.986,-3.491,-3.603,,-3.762,-3.108,-3.296,-4.338,-2.992,,-2.877,-2.697,,-3.851,-5.175
6/20/2023 16:00,20231019,-2.201,-3,-3.43,-3.596,,-3.719,-3.057,-3.261,-4.283,-2.955,,-2.882,-2.694,,-3.848,-5.168
6/20/2023 16:30,20231019,-2.209,-3.01,-3.283,-3.596,,-3.736,-3.02,-3.26,-4.299,-2.642,,-2.898,-2.691,,-3.867,-5.182
6/20/2023 17:00,20231019,-2.205,-3.008,-3.249,-3.578,,-3.739,-2.999,-3.23,-4.31,-2.454,,-2.891,-2.695,,-3.803,-5.15
6/20/2023 17:30,20231019,-2.206,-3.02,-3.214,-3.582,,-3.736,-2.97,-3.193,-4.303,-2.431,,-2.745,-2.715,,-3.679,-5.168
6/20/2023 18:00,20231019,-2.184,-3.023,-3.211,-3.568,,-3.749,-2.961,-3.176,-4.31,-2.407,,-2.486,-2.714,,-3.665,-5.178
6/20/2023 18:30,20231019,-2.049,-3.034,-3.19,-3.557,,-3.739,-2.945,-3.152,-4.31,-2.38,,-2.408,-2.722,,-3.626,-5.164
6/20/2023 19:00,20231019,-1.978,-3.027,-3.18,-3.552,,-3.736,-2.929,-3.132,-4.301,-2.363,,-2.378,-2.726,,-3.618,-5.16
6/20/2023 19:30,20231019,-1.947,-3.041,-3.171,-3.554,,-3.741,-2.918,-3.129,-4.302,-2.355,,-2.352,-2.737,,-3.612,-5.162
6/20/2023 20:00,20231019,-1.928,-3.037,-3.108,-3.53,,-3.746,-2.907,-3.126,-4.311,-2.347,,-2.339,-2.734,,-3.604,-5.167
6/20/2023 20:30,20231019,-1.898,-3.038,-3.057,-3.519,,-3.746,-2.891,-3.114,-4.307,-2.334,,-2.33,-2.752,,-3.6,-5.163
6/20/2023 21:00,20231019,-1.872,-2.988,-3.036,-3.493,,-3.749,-2.88,-3.106,-4.311,-2.33,,-2.317,-2.748,,-3.597,-5.167
6/20/2023 21:30,20231019,-1.863,-2.827,-3.004,-3.481,,-3.734,-2.849,-3.087,-4.3,-2.31,,-2.315,-2.759,,-3.579,-5.165
6/20/2023 22:00,20231019,-1.845,-2.843,-2.989,-3.476,,-3.729,-2.835,-3.073,-4.298,-2.294,,-2.303,-2.722,,-3.575,-5.17
6/20/2023 22:30,20231019,-1.823,-2.832,-2.987,-3.484,,-3.734,-2.832,-3.066,-4.302,-2.294,,-2.294,-2.481,,-3.565,-5.157
6/20/2023 23:00,20231019,-1.804,-2.839,-2.998,-3.486,,-3.752,-2.84,-3.078,-4.318,-2.306,,-2.289,-2.513,,-3.564,-5.159
6/20/2023 23:30,20231019,-1.765,-2.822,-3,-3.488,,-3.75,-2.84,-3.078,-4.323,-2.311,,-2.268,-2.516,,-3.548,-5.15
6/21/2023 0:00,20231019,-1.737,-2.813,-3.002,-3.485,,-3.762,-2.843,-3.077,-4.332,-2.32,,-2.26,-2.535,,-3.544,-5.159
6/21/2023 0:30,20231019,-1.712,-2.805,-3.006,-3.478,,-3.765,-2.84,-3.071,-4.334,-2.317,,-2.257,-2.532,,-3.549,-5.16
6/21/2023 1:00,20231019,-1.702,-2.798,-2.992,-3.466,,-3.758,-2.834,-3.064,-4.327,-2.315,,-2.264,-2.548,,-3.558,-5.171
6/21/2023 1:30,20231019,-1.682,-2.772,-2.981,-3.465,,-3.75,-2.818,-3.04,-4.324,-2.303,,-2.256,-2.541,,-3.554,-5.173
6/21/2023 2:00,20231019,-1.667,-2.763,-2.986,-3.467,,-3.752,-2.818,-3.045,-4.33,-2.305,,-2.245,-2.53,,-3.542,-5.154
6/21/2023 2:30,20231019,-1.648,-2.739,-2.984,-3.459,,-3.753,-2.817,-3.039,-4.325,-2.304,,-2.235,-2.532,,-3.537,-5.146
6/21/2023 3:00,20231019,-1.627,-2.732,-2.986,-3.45,,-3.752,-2.812,-3.03,-4.32,-2.295,,-2.234,-2.541,,-3.548,-5.161
6/21/2023 3:30,20231019,-1.601,-2.728,-2.964,-3.442,,-3.74,-2.797,-3.018,-4.312,-2.248,,-2.231,-2.538,,-3.54,-5.157
6/21/2023 4:00,20231019,-1.589,-2.74,-2.962,-3.432,,-3.745,-2.797,-3.014,-4.318,-2.228,,-2.207,-2.54,,-3.525,-5.149
6/21/2023 4:30,20231019,-1.572,-2.741,-2.942,-3.421,,-3.735,-2.781,-2.999,-4.306,-2.203,,-2.164,-2.535,,-3.525,-5.159
6/21/2023 5:00,20231019,-1.526,-2.741,-2.929,-3.416,,-3.732,-2.77,-2.984,-4.303,-2.187,,-2.135,-2.537,,-3.53,-5.166
6/21/2023 5:30,20231019,-1.452,-2.738,-2.92,-3.414,,-3.73,-2.76,-2.969,-4.3,-2.18,,-2.11,-2.545,,-3.524,-5.154
6/21/2023 6:00,20231019,-1.414,-2.728,-2.925,-3.406,,-3.725,-2.758,-2.967,-4.297,-2.173,,-2.099,-2.552,,-3.517,-5.145
6/21/2023 6:30,20231019,-1.37,-2.711,-2.913,-3.411,,-3.73,-2.747,-2.957,-4.299,-2.161,,-2.083,-2.552,,-3.515,-5.15
6/21/2023 7:00,20231019,-1.333,-2.717,-2.908,-3.414,,-3.738,-2.757,-2.954,-4.305,-2.167,,-2.076,-2.54,,-3.517,-5.155
6/21/2023 7:30,20231019,-1.301,-2.707,-2.918,-3.404,,-3.745,-2.752,-2.953,-4.307,-2.166,,-2.07,-2.538,,-3.52,-5.155
6/21/2023 8:00,20231019,-1.273,-2.707,-2.904,-3.397,,-3.735,-2.743,-2.944,-4.306,-2.164,,-2.072,-2.548,,-3.526,-5.169
6/21/2023 8:30,20231019,-1.244,-2.686,-2.9,-3.403,,-3.732,-2.73,-2.93,-4.304,-2.149,,-2.079,-2.543,,-3.541,-5.172
6/21/2023 9:00,20231019,-1.231,-2.688,-2.9,-3.41,,-3.745,-2.736,-2.933,-4.31,-2.164,,-2.068,-2.513,,-3.528,-5.165
6/21/2023 9:30,20231019,-1.215,-2.676,-2.9,-3.4,,-3.752,-2.747,-2.929,-4.318,-2.176,,-2.054,-2.514,,-3.527,-5.165
6/21/2023 10:00,20231019,-1.192,-2.655,-2.89,-3.406,,-3.745,-2.735,-2.92,-4.313,-2.162,,-2.057,-2.525,,-3.527,-5.168
6/21/2023 10:30,20231019,-1.169,-2.644,-2.9,-3.413,,-3.748,-2.738,-2.915,-4.315,-2.169,,-2.067,-2.519,,-3.537,-5.175
6/21/2023 11:00,20231019,-1.168,-2.646,-2.907,-3.415,,-3.762,-2.744,-2.921,-4.33,-2.175,,-2.057,-2.51,,-3.532,-5.164
6/21/2023 11:30,20231019,-1.168,-2.639,-2.909,-3.413,,-3.763,-2.743,-2.916,-4.325,-2.179,,-2.051,-2.515,,-3.531,-5.163
6/21/2023 12:00,20231019,-1.145,-2.64,-2.904,-3.42,,-3.768,-2.742,-2.907,-4.329,-2.178,,-2.042,-2.524,,-3.53,-5.165
6/21/2023 12:30,20231019,-1.137,-2.643,-2.911,-3.417,,-3.768,-2.747,-2.908,-4.334,-2.179,,-2.043,-2.527,,-3.534,-5.168
6/21/2023 13:00,20231019,-1.147,-2.624,-2.904,-3.434,,-3.772,-2.744,-2.904,-4.344,-2.189,,-2.044,-2.527,,-3.531,-5.165
6/21/2023 13:30,20231019,-1.142,-2.626,-2.918,-3.445,,-3.775,-2.751,-2.908,-4.352,-2.198,,-2.048,-2.537,,-3.543,-5.179
6/21/2023 14:00,20231019,-1.141,-2.629,-2.931,-3.429,,-3.785,-2.763,-2.908,-4.352,-2.206,,-2.062,-2.526,,-3.547,-5.175
6/21/2023 14:30,20231019,-1.141,-2.628,-2.923,-3.404,,-3.757,-2.748,-2.897,-4.332,-2.186,,-2.05,-2.529,,-3.547,-5.178
6/21/2023 15:00,20231019,-1.145,-2.614,-2.897,-3.409,,-3.752,-2.724,-2.873,-4.32,-2.169,,-2.047,-2.529,,-3.539,-5.173
6/21/2023 15:30,20231019,-1.153,-2.621,-2.858,-3.393,,-3.753,-2.73,-2.875,-4.326,-2.175,,-2.04,-2.532,,-3.549,-5.175
6/21/2023 16:00,20231019,-1.156,-2.631,-2.802,-3.402,,-3.742,-2.719,-2.868,-4.319,-2.176,,-2.046,-2.532,,-3.539,-5.169
6/21/2023 16:30,20231019,-1.134,-2.635,-2.786,-3.393,,-3.757,-2.725,-2.866,-4.325,-2.182,,-2.039,-2.527,,-3.532,-5.174
6/21/2023 17:00,20231019,-1.111,-2.626,-2.767,-3.388,,-3.752,-2.723,-2.86,-4.323,-2.171,,-2.04,-2.525,,-3.514,-5.158
6/21/2023 17:30,20231019,-1.083,-2.635,-2.752,-3.373,,-3.743,-2.713,-2.85,-4.321,-2.174,,-2.039,-2.529,,-3.517,-5.171
6/21/2023 18:00,20231019,-1.058,-2.636,-2.726,-3.364,,-3.732,-2.703,-2.836,-4.306,-2.159,,-2.033,-2.529,,-3.499,-5.16
6/21/2023 18:30,20231019,-1.053,-2.645,-2.718,-3.361,,-3.73,-2.697,-2.829,-4.303,-2.16,,-2.033,-2.544,,-3.504,-5.167
6/21/2023 19:00,20231019,-1.039,-2.649,-2.709,-3.357,,-3.728,-2.694,-2.826,-4.304,-2.16,,-2.03,-2.544,,-3.497,-5.16
6/21/2023 19:30,20231019,-1.023,-2.642,-2.693,-3.365,,-3.733,-2.69,-2.819,-4.299,-2.156,,-2.034,-2.55,,-3.49,-5.161
6/21/2023 20:00,20231019,-0.995,-2.617,-2.702,-3.357,,-3.742,-2.698,-2.831,-4.316,-2.169,,-2.033,-2.552,,-3.498,-5.159
6/21/2023 20:30,20231019,-0.985,-2.619,-2.688,-3.358,,-3.738,-2.697,-2.822,-4.314,-2.167,,-2.027,-2.554,,-3.489,-5.159
6/21/2023 21:00,20231019,-0.975,-2.595,-2.688,-3.35,,-3.735,-2.692,-2.821,-4.312,-2.16,,-2.034,-2.549,,-3.5,-5.169
6/21/2023 21:30,20231019,-0.961,-2.596,-2.678,-3.356,,-3.732,-2.687,-2.811,-4.301,-2.158,,-2.036,-2.55,,-3.499,-5.162
6/21/2023 22:00,20231019,-0.97,-2.576,-2.688,-3.344,,-3.738,-2.694,-2.818,-4.312,-2.165,,-2.034,-2.541,,-3.494,-5.158
6/21/2023 22:30,20231019,-0.961,-2.558,-2.676,-3.346,,-3.736,-2.687,-2.808,-4.305,-2.158,,-2.027,-2.543,,-3.483,-5.149
6/21/2023 23:00,20231019,-0.95,-2.535,-2.677,-3.344,,-3.735,-2.689,-2.805,-4.307,-2.164,,-2.024,-2.534,,-3.493,-5.161
6/21/2023 23:30,20231019,-0.938,-2.527,-2.669,-3.353,,-3.733,-2.687,-2.803,-4.309,-2.166,,-2.022,-2.539,,-3.483,-5.153
6/22/2023 0:00,20231019,-0.941,-2.519,-2.681,-3.346,,-3.748,-2.7,-2.817,-4.319,-2.176,,-2.019,-2.534,,-3.48,-5.151
6/22/2023 0:30,20231019,-0.931,-2.506,-2.674,-3.357,,-3.745,-2.688,-2.809,-4.315,-2.176,,-2.019,-2.535,,-3.48,-5.151
6/22/2023 1:00,20231019,-0.933,-2.518,-2.687,-3.329,,-3.752,-2.696,-2.813,-4.328,-2.185,,-2.028,-2.536,,-3.488,-5.161
6/22/2023 1:30,20231019,-0.927,-2.508,-2.653,-3.339,,-3.725,-2.673,-2.79,-4.303,-2.147,,-2.016,-2.539,,-3.485,-5.155
6/22/2023 2:00,20231019,-0.94,-2.502,-2.66,-3.344,,-3.742,-2.682,-2.794,-4.312,-2.165,,-2.017,-2.546,,-3.49,-5.162
6/22/2023 2:30,20231019,-0.929,-2.5,-2.659,-3.339,,-3.743,-2.68,-2.792,-4.319,-2.159,,-2.002,-2.535,,-3.464,-5.143
6/22/2023 3:00,20231019,-0.936,-2.502,-2.65,-3.329,,-3.748,-2.686,-2.795,-4.318,-2.162,,-2,-2.538,,-3.474,-5.155
6/22/2023 3:30,20231019,-0.911,-2.491,-2.643,-3.316,,-3.745,-2.683,-2.784,-4.319,-2.154,,-1.988,-2.529,,-3.479,-5.158
6/22/2023 4:00,20231019,-0.919,-2.492,-2.616,-3.296,,-3.728,-2.664,-2.764,-4.307,-2.142,,-1.994,-2.534,,-3.479,-5.155
6/22/2023 4:30,20231019,-0.913,-2.486,-2.594,-3.284,,-3.716,-2.65,-2.75,-4.292,-2.132,,-1.992,-2.525,,-3.474,-5.157
6/22/2023 5:00,20231019,-0.911,-2.495,-2.582,-3.291,,-3.708,-2.636,-2.737,-4.286,-2.126,,-1.981,-2.53,,-3.468,-5.148
6/22/2023 5:30,20231019,-0.9,-2.492,-2.589,-3.287,,-3.711,-2.642,-2.738,-4.295,-2.122,,-1.982,-2.523,,-3.466,-5.144
6/22/2023 6:00,20231019,-0.882,-2.5,-2.585,-3.288,,-3.718,-2.639,-2.732,-4.291,-2.126,,-1.991,-2.534,,-3.475,-5.151
6/22/2023 6:30,20231019,-0.862,-2.471,-2.58,-3.293,,-3.696,-2.639,-2.731,-4.294,-2.125,,-1.99,-2.527,,-3.479,-5.159
6/22/2023 7:00,20231019,-0.846,-2.48,-2.584,-3.279,,-3.698,-2.639,-2.727,-4.302,-2.128,,-1.987,-2.527,,-3.487,-5.157
6/22/2023 7:30,20231019,-0.847,-2.483,-2.574,-3.279,,-3.694,-2.63,-2.714,-4.292,-2.123,,-1.982,-2.493,,-3.478,-5.153
6/22/2023 8:00,20231019,-0.845,-2.482,-2.564,-3.289,,-3.691,-2.626,-2.706,-4.286,-2.122,,-1.977,-2.502,,-3.47,-5.146
6/22/2023 8:30,20231019,-0.849,-2.478,-2.574,-3.306,,-3.708,-2.632,-2.712,-4.297,-2.132,,-1.978,-2.516,,-3.472,-5.149
6/22/2023 9:00,20231019,-0.842,-2.462,-2.594,-3.317,,-3.728,-2.654,-2.73,-4.32,-2.147,,-1.975,-2.506,,-3.474,-5.149
6/22/2023 9:30,20231019,-0.831,-2.443,-2.597,-3.32,,-3.735,-2.667,-2.73,-4.325,-2.156,,-1.976,-2.504,,-3.471,-5.145
6/22/2023 10:00,20231019,-0.831,-2.432,-2.57,-3.321,,-3.738,-2.667,-2.735,-4.335,-2.157,,-1.977,-2.499,,-3.475,-5.156
6/22/2023 10:30,20231019,-0.844,-2.437,-2.505,-3.328,,-3.748,-2.672,-2.732,-4.332,-2.163,,-1.975,-2.502,,-3.485,-5.163
6/22/2023 11:00,20231019,-0.858,-2.429,-2.471,-3.252,,-3.755,-2.682,-2.734,-4.347,-2.164,,-1.972,-2.501,,-3.47,-5.149
6/22/2023 11:30,20231019,-0.866,-2.437,-2.321,-3.193,,-3.708,-2.589,-2.68,-4.302,-2.021,,-1.988,-2.502,,-3.453,-5.184
6/22/2023 12:00,20231019,-0.867,-2.44,-2.228,-3.158,,-3.71,-2.508,-2.591,-4.295,-1.941,,-2.012,-2.499,,-3.448,-5.201
6/22/2023 12:30,20231019,-0.878,-2.426,-2.183,-3.145,,-3.707,-2.46,-2.508,-4.301,-1.903,,-1.904,-2.495,,-3.333,-4.166
6/22/2023 13:00,20231019,-0.887,-2.421,-2.173,-3.131,,-3.724,-2.454,-2.456,-4.315,-1.904,,-1.796,-2.488,,-3.239,-4.869
6/22/2023 13:30,20231019,-0.741,-2.431,-2.156,-3.118,,-3.734,-2.43,-2.422,-4.321,-1.902,,-1.737,-2.491,,-3.173,-5
6/22/2023 14:00,20231019,-0.669,-2.454,-2.136,-3.061,,-3.744,-2.415,-2.395,-4.328,-1.899,,-1.717,-2.497,,-3.15,-5.077
6/22/2023 14:30,20231019,-0.636,-2.459,-1.932,-2.991,,-3.722,-2.387,-2.37,-4.315,-1.882,,-1.709,-2.49,,-3.118,-5.149
6/22/2023 15:00,20231019,-0.644,-2.46,-1.876,-2.959,,-3.724,-2.375,-2.33,-4.307,-1.874,,-1.696,-2.497,,-3.098,-4.808
6/22/2023 15:30,20231019,-0.63,-2.432,-1.859,-2.939,,-3.727,-2.36,-2.303,-4.316,-1.879,,-1.684,-2.509,,-2.905,-3.696
6/22/2023 16:00,20231019,-0.612,-2.425,-1.845,-2.932,,-3.724,-2.352,-2.275,-4.313,-1.88,,-1.689,-2.488,,-2.798,-4.453
6/22/2023 16:30,20231019,-0.574,-2.29,-1.845,-2.932,,-3.731,-2.356,-2.262,-4.325,-1.883,,-1.688,-2.516,,-2.754,-4.799
6/22/2023 17:00,20231019,-0.547,-2.207,-1.852,-2.908,,-3.751,-2.347,-2.262,-4.328,-1.9,,-1.696,-2.537,,-2.726,-4.991
6/22/2023 17:30,20231019,-0.521,-2.169,-1.832,-2.884,,-3.727,-2.333,-2.236,-4.314,-1.877,,-1.69,-2.113,,-2.704,-5.022
6/22/2023 18:00,20231019,-0.495,-2.157,-1.805,-2.872,,-3.707,-2.303,-2.206,-4.295,-1.867,,-1.68,-2.132,,-2.686,-5.042
6/22/2023 18:30,20231019,-0.48,-2.137,-1.806,-2.877,,-3.702,-2.296,-2.199,-4.291,-1.859,,-1.681,-2.15,,-2.675,-5.064
6/22/2023 19:00,20231019,-0.472,-2.122,-1.804,-2.877,,-3.714,-2.297,-2.204,-4.297,-1.872,,-1.677,-2.161,,-2.668,-5.092
6/22/2023 19:30,20231019,-0.429,-2.023,-1.804,-2.873,,-3.714,-2.293,-2.199,-4.295,-1.871,,-1.667,-2.163,,-2.66,-5.113
6/22/2023 20:00,20231019,-0.392,-1.955,-1.794,-2.866,,-3.707,-2.28,-2.19,-4.294,-1.866,,-1.671,-2.044,,-2.659,-5.151
6/22/2023 20:30,20231019,-0.375,-1.93,-1.776,-2.863,,-3.704,-2.267,-2.185,-4.284,-1.86,,-1.673,-1.94,,-2.666,-5.157
6/22/2023 21:00,20231019,-0.365,-1.914,-1.78,-2.869,,-3.704,-2.257,-2.188,-4.286,-1.862,,-1.675,-1.936,,-2.661,-5.154
6/22/2023 21:30,20231019,-0.35,-1.917,-1.776,-2.872,,-3.717,-2.26,-2.194,-4.301,-1.877,,-1.664,-1.95,,-2.659,-5.15
6/22/2023 22:00,20231019,-0.342,-1.916,-1.776,-2.891,,-3.72,-2.258,-2.196,-4.306,-1.882,,-1.665,-1.954,,-2.665,-5.153
6/22/2023 22:30,20231019,-0.319,-1.902,-1.786,-2.858,,-3.736,-2.259,-2.213,-4.316,-1.893,,-1.662,-1.947,,-2.67,-5.151
6/22/2023 23:00,20231019,-0.314,-1.883,-1.769,-2.879,,-3.71,-2.233,-2.191,-4.287,-1.886,,-1.66,-1.941,,-2.668,-5.151
6/22/2023 23:30,20231019,-0.321,-1.893,-1.779,-2.869,,-3.727,-2.249,-2.207,-4.31,-1.895,,-1.664,-1.942,,-2.684,-5.161
6/23/2023 0:00,20231019,-0.316,-1.893,-1.774,-2.874,,-3.72,-2.229,-2.203,-4.304,-1.886,,-1.651,-1.937,,-2.66,-5.14
6/23/2023 0:30,20231019,-0.325,-1.901,-1.78,-2.869,,-3.722,-2.232,-2.209,-4.303,-1.889,,-1.645,-1.929,,-2.678,-5.153
6/23/2023 1:00,20231019,-0.312,-1.896,-1.776,-2.872,,-3.724,-2.226,-2.211,-4.301,-1.891,,-1.635,-1.933,,-2.673,-5.144
6/23/2023 1:30,20231019,-0.316,-1.89,-1.772,-2.886,,-3.731,-2.226,-2.215,-4.31,-1.904,,-1.643,-1.936,,-2.681,-5.151
6/23/2023 2:00,20231019,-0.308,-1.9,-1.788,-2.879,,-3.741,-2.234,-2.235,-4.323,-1.908,,-1.643,-1.932,,-2.684,-5.154
6/23/2023 2:30,20231019,-0.31,-1.91,-1.778,-2.88,,-3.737,-2.224,-2.225,-4.321,-1.907,,-1.638,-1.916,,-2.682,-5.144
6/23/2023 3:00,20231019,-0.309,-1.916,-1.782,-2.878,,-3.741,-2.222,-2.231,-4.32,-1.901,,-1.632,-1.919,,-2.687,-5.152
